status	gender	major	dorm	year
1	2	270	142	2006
1	2	279	0	2007
1	2	273	0	2007
1	1	236	133	2007
1	2	246	0	2007
2	0	0	0	0
1	0	0	0	0
2	1	236	0	2005
1	2	240	92	0
1	1	283	0	0
1	1	281	140	2007
1	2	241	92	2009
1	2	246	0	2005
1	1	249	136	2006
1	1	0	91	2009
1	2	272	0	2005
1	1	243	0	2008
1	0	0	0	0
2	2	235	128	2005
1	1	251	142	0
1	1	273	0	2006
2	2	269	0	2004
2	2	268	0	2005
1	2	246	98	2008
1	1	293	0	2007
1	2	246	0	0
1	2	250	96	2009
1	1	246	94	2009
1	2	251	142	2008
1	2	277	100	2009
1	2	253	92	2009
1	1	283	94	2009
1	2	251	0	0
1	1	244	0	0
1	1	273	0	2008
2	2	0	0	0
1	1	246	140	2008
1	2	259	96	2009
1	1	278	0	0
1	1	245	94	2008
1	1	288	0	2005
1	1	283	98	2009
1	1	289	0	2006
1	2	277	140	2008
1	1	243	0	0
1	1	244	142	0
1	2	253	0	0
1	1	275	0	2007
1	2	0	0	2008
1	2	279	0	2005
1	2	236	0	2009
1	2	244	142	2009
1	2	246	91	2008
1	1	283	95	2009
1	1	273	0	0
1	1	278	0	2007
1	1	238	95	2009
2	1	246	144	2005
1	2	279	89	2008
1	1	246	140	2007
1	0	0	0	0
1	1	250	0	0
1	2	291	0	2006
2	2	272	0	2004
1	0	0	0	0
1	0	0	0	0
1	1	296	0	2007
1	1	239	0	2007
1	2	250	145	2010
2	0	246	106	2005
1	2	267	100	2009
1	1	290	0	2007
1	2	236	0	2006
1	2	246	140	2007
1	2	297	0	0
1	2	259	102	2007
2	2	240	127	2005
1	2	250	94	2009
1	2	276	101	2008
2	1	236	0	2005
1	2	265	0	2006
1	1	239	0	2006
1	2	250	0	0
1	2	288	0	0
2	2	259	0	2005
1	2	246	0	2008
1	1	246	98	2009
1	2	258	0	0
1	2	277	142	2008
1	1	263	140	2008
1	1	241	0	0
1	1	241	142	2006
1	0	0	0	0
2	1	249	0	2005
2	1	273	0	2005
1	1	299	98	2009
2	2	279	0	2005
1	1	236	0	0
1	2	295	0	2006
1	2	249	0	2006
1	1	240	0	0
1	2	0	0	0
1	2	251	140	2005
1	1	0	107	0
1	2	250	0	2007
1	2	251	90	2008
1	2	258	100	2007
1	2	259	0	2006
1	2	279	0	2007
1	1	253	0	2007
1	1	267	98	2008
1	2	246	144	2007
1	1	289	0	2007
1	2	252	140	0
1	2	246	128	2007
1	1	246	0	0
1	1	241	0	2009
1	1	248	98	0
1	2	250	0	2006
1	0	0	0	0
1	2	298	127	0
1	2	246	0	2007
1	2	246	140	2007
1	1	241	140	2008
1	1	246	0	2007
1	2	251	0	0
1	2	296	123	2010
1	1	278	0	2009
2	1	289	0	2005
1	1	246	142	2007
1	1	246	0	0
1	1	241	142	2008
1	1	260	0	2006
1	2	251	94	2009
1	1	239	87	2010
2	2	0	0	2004
1	2	251	0	2006
1	1	248	134	0
1	2	241	92	2010
1	1	246	91	2009
1	2	278	129	2006
1	1	243	0	2005
1	1	297	94	0
1	2	252	140	2007
1	1	0	140	2008
1	2	252	0	2006
1	2	250	88	2008
1	1	241	0	0
1	2	279	0	2007
1	1	246	133	2007
1	1	288	132	2006
1	1	252	140	2009
1	2	252	142	2007
1	0	0	0	0
5	1	289	0	2005
1	2	259	94	2007
5	2	251	0	0
1	0	0	0	0
2	1	252	0	2004
1	2	246	0	2007
1	2	258	0	2004
1	1	246	138	2006
1	0	241	0	0
1	2	292	96	0
1	2	287	120	2006
2	2	238	0	2005
1	1	268	0	2005
1	1	299	0	0
1	2	246	0	2004
1	2	253	0	0
2	1	260	0	2004
1	1	236	140	2008
1	2	240	0	2010
1	2	259	0	0
2	1	253	0	2005
1	1	283	0	2006
1	2	249	0	0
1	2	246	0	0
1	2	251	0	2007
1	2	235	0	2006
1	1	269	96	2009
1	2	250	140	2007
1	2	250	0	2005
1	1	237	94	2008
1	2	246	140	2007
2	2	254	116	2005
1	2	266	0	2006
1	2	251	0	0
1	1	261	0	2007
1	1	236	87	2008
1	2	295	127	2006
1	2	246	91	2008
1	1	246	0	2006
1	1	275	0	2006
1	2	237	98	2009
1	1	264	91	2009
5	2	259	0	2006
1	2	274	0	2005
1	1	244	0	2007
1	2	261	0	0
1	1	250	140	0
2	2	237	0	0
1	2	246	0	2006
1	2	265	125	2006
1	2	246	102	2008
1	2	259	100	2006
1	1	283	94	0
1	2	259	0	2009
1	2	250	0	0
1	2	252	0	2008
1	2	273	0	2005
1	2	246	0	2006
1	2	267	97	2010
1	1	258	100	2006
1	2	268	108	2006
1	1	254	132	0
1	2	246	94	2009
1	1	275	0	2005
2	2	246	0	2004
1	1	294	0	0
1	2	252	98	2008
1	2	243	90	2008
2	2	246	0	2007
2	1	246	137	2004
1	1	246	91	2008
1	2	236	94	2004
1	2	273	98	0
1	2	261	0	0
1	1	290	0	2005
1	2	258	98	2009
1	1	264	0	2006
1	2	241	0	2008
1	2	269	100	2007
1	2	246	140	2007
1	1	0	140	2008
1	1	291	90	0
1	1	297	0	2007
1	1	289	142	0
1	1	246	140	2008
1	1	244	94	2008
1	1	239	87	2009
1	2	253	87	2008
1	2	241	92	2010
1	2	246	0	2008
1	2	236	87	2004
1	1	279	94	2008
1	2	279	0	2005
1	2	250	99	2006
1	2	279	98	2009
1	0	0	0	0
1	1	296	95	2009
1	2	249	98	2009
1	1	244	151	2009
1	1	244	94	2009
1	2	253	0	2008
1	2	247	150	2007
1	1	239	94	2008
1	2	293	140	0
1	0	0	0	0
1	1	241	0	2006
1	1	251	0	0
1	0	0	0	2006
1	2	0	92	0
1	2	246	123	2007
1	2	0	102	2007
1	2	273	0	2008
1	2	251	97	2009
1	0	259	0	0
1	1	244	98	0
1	1	236	0	2006
1	1	242	0	2005
1	1	260	143	2008
1	0	0	0	0
1	1	294	0	2007
1	1	283	0	2007
1	2	235	0	2008
1	1	288	0	0
1	2	277	0	2006
1	1	246	95	2009
1	2	286	98	0
1	2	271	130	2007
1	2	250	140	2008
1	1	296	0	2007
1	2	246	0	2009
1	0	0	0	0
1	2	292	142	2009
1	2	0	0	0
1	2	236	0	0
1	2	236	116	2007
5	1	273	0	2004
1	2	241	0	2007
1	2	290	0	2010
1	2	251	98	2008
1	1	283	0	2006
1	2	240	0	2008
1	1	283	0	0
1	1	291	135	2008
1	2	251	102	2009
1	1	285	98	2008
1	2	252	0	2007
1	2	242	94	2008
1	2	235	0	0
2	2	239	0	2005
2	2	250	129	2005
1	1	283	0	2006
1	1	290	0	2006
1	2	259	0	0
1	1	290	137	2008
1	1	239	142	2007
1	0	0	0	0
1	2	259	96	2008
1	1	239	0	0
1	1	239	0	2009
1	1	237	0	2008
1	1	296	0	0
1	1	273	0	0
1	1	246	140	2008
1	1	246	0	2005
1	2	240	102	2008
1	1	246	140	2007
1	1	290	0	0
1	2	291	0	0
1	2	235	0	0
1	2	240	100	2004
1	2	270	0	2006
1	1	290	0	2007
1	2	246	120	2007
1	2	0	0	0
1	2	268	87	2009
1	1	235	100	0
1	1	275	97	2007
2	1	283	0	2005
1	2	279	98	0
1	2	268	0	2007
1	2	253	123	2006
1	1	236	0	0
1	2	246	0	2008
1	2	271	0	2006
1	2	246	98	2009
1	1	244	142	2007
1	2	262	0	2007
1	2	246	94	2008
2	1	0	0	2005
1	2	0	0	0
1	2	286	102	2008
1	2	252	0	0
1	2	246	119	2008
1	1	275	98	2009
1	0	244	0	2006
1	2	271	0	0
1	2	251	0	2008
1	2	252	94	0
1	2	0	141	0
1	1	260	0	0
2	2	292	0	2005
1	2	259	0	2010
1	2	244	96	2009
1	2	0	0	2004
1	2	261	0	0
1	2	252	140	2008
1	1	268	138	0
1	1	237	0	2006
1	0	0	0	0
1	0	0	0	0
1	2	269	0	2007
1	0	246	0	2006
1	1	283	0	2006
1	1	250	102	2009
1	2	264	0	2006
1	1	273	146	2009
2	2	244	0	2005
1	1	235	0	2007
1	2	235	142	2006
2	1	273	0	2005
1	1	239	140	2008
1	2	251	100	0
1	1	283	0	0
1	2	261	0	2007
1	1	296	96	2009
1	2	250	93	0
1	2	292	93	2009
1	2	236	0	2006
1	2	277	0	2008
1	1	275	140	2007
1	2	235	89	2008
1	2	279	141	2007
1	1	240	92	2006
1	1	273	0	0
1	2	250	0	2009
1	2	246	0	2007
1	1	246	0	2006
1	2	250	87	2008
1	1	272	0	2007
1	2	249	0	2006
1	0	0	0	0
1	2	291	94	0
1	1	283	0	0
1	1	239	102	2009
1	2	298	140	0
1	2	279	0	2005
1	2	241	92	2010
1	2	252	130	2007
1	2	241	0	0
1	1	246	98	2009
1	1	280	0	2007
1	1	268	133	2007
1	2	246	94	0
1	1	246	98	2009
1	2	279	0	2005
1	2	246	102	2009
1	1	241	0	0
1	1	246	0	0
1	2	252	102	2008
1	2	246	131	2007
1	2	277	94	2009
1	2	246	0	2006
1	2	273	0	2007
2	2	246	0	2004
1	1	275	0	2007
1	2	244	0	2006
1	1	272	0	2007
1	2	259	109	2007
2	2	272	0	2004
2	2	268	0	2005
1	1	243	142	2008
1	2	246	91	2008
1	0	0	0	0
1	2	235	0	2007
1	2	241	142	0
1	2	259	90	2008
1	1	246	140	2008
1	1	236	0	2006
1	1	237	0	2007
2	1	250	0	2005
1	2	246	93	0
2	2	238	128	2005
1	2	259	140	2007
2	1	260	0	2005
1	1	275	0	2007
1	2	274	0	0
1	2	246	0	2006
1	2	250	144	2007
1	1	265	0	0
1	1	275	0	2006
1	2	294	121	2006
1	0	0	0	0
1	2	252	94	2009
1	2	246	0	2008
1	1	262	153	0
1	2	251	0	0
1	2	236	0	2007
2	1	277	0	0
1	2	246	0	0
1	2	265	0	2006
1	2	267	125	2006
1	1	294	0	0
1	2	270	126	2005
1	2	270	0	0
1	1	246	0	2007
1	2	267	94	2009
1	2	246	0	2006
1	2	284	0	2006
1	0	0	0	0
1	2	250	92	2008
1	2	239	0	2006
1	2	254	0	2009
2	0	0	0	0
1	0	0	0	0
1	1	242	0	0
1	1	246	0	0
1	2	250	0	2008
1	1	255	132	2007
1	1	273	0	2006
2	1	246	0	2005
1	1	273	0	0
1	1	241	140	2008
1	2	244	89	2008
1	2	246	98	2009
1	2	286	94	2008
1	2	279	95	2009
1	2	255	0	0
1	1	283	0	2007
1	1	244	140	2008
1	1	296	133	2005
1	2	265	94	2008
1	1	0	142	2006
1	2	239	0	0
1	2	252	90	2008
1	1	240	0	2006
1	0	0	0	0
2	2	286	0	2005
1	2	279	0	2005
1	2	277	0	2007
1	1	292	98	2009
1	1	255	0	0
5	1	248	0	2005
1	1	288	91	2009
1	1	250	0	0
1	2	288	0	2009
1	1	283	0	2009
1	2	258	95	2009
1	2	279	0	0
1	2	272	0	2005
1	2	279	94	0
1	2	251	102	2009
1	1	246	95	2009
1	2	236	87	2009
1	1	236	144	0
1	2	267	94	2008
1	2	250	96	2008
2	2	286	0	2005
1	2	246	0	2005
1	1	239	140	2007
1	2	250	102	0
1	2	279	0	2006
1	2	259	87	2009
1	1	244	102	2009
1	2	279	0	0
1	1	250	0	0
5	2	270	0	0
1	2	241	149	2009
1	1	268	96	2009
1	2	241	92	2009
1	2	253	0	2006
1	1	0	102	0
2	2	279	0	2005
1	2	272	0	2007
1	1	258	0	2006
1	1	241	0	0
1	2	244	115	2007
1	1	246	0	2007
2	1	263	0	2005
1	2	283	140	2008
1	0	0	0	0
1	1	269	0	2007
1	2	246	0	0
1	2	279	0	2006
1	0	244	89	0
1	2	251	98	2009
1	2	271	0	0
1	2	274	98	2010
1	1	244	0	2008
1	2	246	0	2006
1	2	260	0	2006
1	2	244	142	2009
1	2	272	0	0
1	2	246	0	2006
1	1	275	0	2007
1	1	248	0	2006
1	2	273	0	2009
2	1	272	0	2005
1	2	259	93	2004
1	1	246	98	2009
1	2	0	92	2009
1	2	241	0	2008
2	2	0	0	2005
1	1	277	91	2010
2	2	286	0	2004
1	2	235	0	2006
1	2	246	100	2007
1	1	244	94	2009
1	2	259	0	2006
1	1	291	100	2006
1	1	290	0	2007
1	0	0	0	0
2	1	283	0	0
1	2	279	0	2006
1	1	246	105	0
1	2	246	0	2007
1	1	288	0	2007
1	2	246	0	2006
1	1	241	92	2010
2	0	0	0	0
1	2	250	89	2008
2	2	270	0	0
1	1	246	0	2005
1	1	239	138	2006
1	2	253	92	2008
1	0	0	0	0
1	2	236	0	0
1	1	246	0	2006
1	2	259	140	2008
1	1	244	89	2009
1	2	244	94	2005
1	2	250	0	2008
1	1	236	100	2007
1	1	244	89	2008
1	2	246	0	0
1	2	246	146	2007
1	1	246	0	2006
1	1	246	0	0
1	2	250	0	2007
1	1	236	146	2008
1	1	241	0	2007
1	1	297	96	2009
1	1	241	0	0
1	0	0	0	0
1	2	235	94	2008
1	2	244	94	2009
1	1	272	0	2005
1	2	240	0	2005
3	0	0	0	0
1	2	0	0	0
1	2	279	0	0
1	1	239	105	0
1	2	263	97	2009
1	2	267	96	2008
1	1	257	0	2007
1	1	241	140	2009
1	1	246	138	2007
1	2	279	0	0
1	1	294	96	2004
1	1	246	96	2009
1	1	268	140	0
1	2	259	141	2008
1	1	0	138	2006
1	1	249	0	2007
1	1	246	95	2009
1	2	0	0	0
1	2	268	0	2005
1	1	259	133	0
1	0	0	0	0
1	1	246	0	2005
1	1	241	0	0
1	2	279	0	2005
1	1	289	0	2007
1	2	268	0	0
1	1	291	0	0
1	2	259	91	2009
1	1	291	146	0
2	2	290	0	2005
1	2	235	0	2005
2	2	252	0	2004
2	1	246	0	2005
2	2	259	0	2005
1	1	254	94	2008
1	2	0	0	2007
1	1	244	0	2009
1	2	246	142	2008
1	2	288	0	2007
5	2	238	0	2005
1	1	283	0	0
1	2	253	123	2006
1	2	243	0	2005
1	2	279	0	2007
1	1	298	0	0
1	1	297	0	2008
1	2	246	142	2009
1	1	260	96	2008
1	1	289	0	2006
1	1	294	94	2008
2	2	250	0	2005
1	2	292	0	2006
1	2	278	0	0
1	1	256	0	2008
1	1	242	0	2007
1	1	278	0	0
1	2	274	0	2005
1	2	250	0	2005
1	0	296	0	2006
1	1	244	140	2004
2	2	246	100	2005
1	1	269	0	2007
2	2	264	0	2005
1	2	259	0	0
1	1	241	0	2006
1	2	271	0	2005
1	1	279	102	2009
1	2	0	87	2009
2	0	236	0	2005
1	1	244	0	0
2	1	236	0	0
1	1	246	94	2009
1	2	270	125	2008
5	1	244	0	2008
1	1	0	0	2006
1	2	250	98	2009
1	2	236	125	2007
2	2	246	121	2005
1	2	280	0	2006
1	1	290	0	0
1	2	259	94	2008
1	1	297	98	2009
1	2	259	0	2008
2	1	275	0	2003
1	1	236	132	2005
1	2	251	100	2009
1	2	246	147	2007
1	1	244	0	2007
1	2	279	0	2006
1	2	246	98	0
1	2	261	140	2007
1	0	240	0	0
1	2	262	125	2006
1	2	241	0	0
1	1	262	0	2006
1	2	241	0	2008
1	2	286	0	2005
1	1	268	138	0
1	1	246	91	2007
1	2	250	108	2007
1	2	240	94	2009
1	2	245	122	0
2	1	246	0	2005
1	2	246	0	0
1	0	246	0	2006
1	2	251	0	2008
1	1	241	0	2008
1	1	290	0	2006
1	1	0	0	2006
1	2	246	0	0
2	1	274	0	2005
2	1	246	0	2005
1	1	268	96	2009
1	2	246	0	2006
1	2	259	0	2005
1	2	270	0	2007
1	1	268	140	2008
1	2	0	0	2005
1	1	260	98	2008
2	1	289	0	2005
2	2	271	0	2005
1	2	279	97	2010
1	1	246	98	2009
1	2	242	96	0
1	2	277	0	0
1	2	252	0	2005
1	1	235	145	2007
1	2	272	97	0
1	2	290	0	2008
1	1	273	0	2007
1	2	250	0	2006
2	2	246	129	2004
1	1	282	0	2007
1	0	0	0	0
1	2	253	0	2006
1	1	246	153	2008
1	1	246	0	2008
1	2	279	0	2006
1	1	278	91	2009
1	1	289	0	0
1	2	279	0	2008
1	2	268	102	2009
1	1	250	145	2008
1	1	248	0	2007
1	2	243	120	2006
1	1	246	140	2007
1	0	246	0	0
1	0	0	0	0
1	1	268	0	2007
1	2	246	0	2007
2	2	236	0	0
1	2	279	0	0
1	2	244	140	0
1	2	235	0	2006
1	2	252	93	2008
1	1	275	0	2006
1	1	250	0	2006
1	2	240	0	0
1	2	236	0	2006
1	1	241	97	2008
1	2	235	102	2009
1	1	240	93	2008
1	1	244	0	2008
1	2	250	0	2008
1	1	247	0	2010
1	2	279	0	2007
1	2	241	0	2006
1	2	246	0	2005
1	2	259	91	2009
1	1	262	0	0
2	2	235	0	2005
1	1	283	0	2008
1	2	235	97	2005
2	1	267	0	2004
1	1	237	94	2009
1	1	272	96	2009
1	2	265	0	2005
1	2	296	144	0
1	1	290	96	2009
1	1	236	98	0
1	2	251	0	2005
1	2	246	104	2006
1	1	268	96	0
2	1	246	0	2005
1	2	297	123	2008
1	1	289	137	2007
1	0	237	0	0
1	1	264	134	2007
2	1	260	0	2005
1	1	246	91	2008
2	2	281	0	2005
1	1	244	0	2007
2	2	271	131	2005
1	2	246	98	2009
1	2	250	92	2004
1	1	246	0	2006
1	1	254	94	2009
1	2	283	0	2006
1	0	246	134	0
1	1	260	140	2008
1	2	244	89	2009
1	2	259	145	2007
2	1	258	133	2005
1	1	295	0	0
1	2	0	0	2009
1	2	245	0	2006
1	1	283	0	2008
1	1	291	0	2006
2	1	291	0	2005
1	2	270	100	2008
1	1	250	140	2007
2	2	250	0	2005
1	1	250	95	0
1	2	246	140	2007
1	2	250	130	2007
2	1	295	0	2004
1	2	252	142	2006
1	1	246	0	2007
1	2	236	0	2007
1	1	283	94	2009
1	1	246	0	2006
1	1	278	0	2006
1	1	273	91	2009
1	2	250	92	2008
1	2	283	0	2004
1	2	265	0	2008
1	2	241	98	2007
1	2	288	94	2009
2	2	297	0	2005
1	2	288	0	2006
1	1	273	0	2008
1	2	237	94	2009
1	2	252	0	2006
1	1	237	0	2007
1	2	279	140	2007
1	2	235	91	2009
1	2	241	129	2006
1	1	291	94	0
1	2	240	0	2006
2	2	288	0	0
1	2	236	87	2008
1	2	279	0	2006
1	2	246	147	2007
1	1	0	0	2007
1	1	239	101	0
1	1	246	0	0
1	1	268	0	2006
2	2	252	0	2005
2	1	246	0	2004
1	1	292	135	0
1	2	293	0	0
1	2	288	0	2005
1	2	279	117	2008
1	1	246	0	2006
1	1	246	95	0
1	2	290	0	0
1	1	237	0	2008
1	2	235	108	0
1	2	236	0	2006
2	2	249	0	2005
1	1	246	94	2009
1	1	274	98	2009
5	2	0	0	2007
1	1	242	96	2008
1	0	0	0	0
1	1	248	94	2008
1	0	250	92	2008
1	1	246	0	2006
1	2	0	0	2007
1	2	270	120	2006
2	1	0	0	0
2	2	246	0	2005
1	2	253	0	0
1	2	279	102	2005
1	2	290	0	2006
1	1	246	0	0
1	1	239	0	2007
1	1	248	0	2005
1	2	241	143	2007
1	2	255	0	2005
1	1	260	0	2006
1	2	292	0	0
1	1	268	132	2004
1	1	275	0	0
1	1	246	133	2006
1	2	267	0	2007
1	2	244	0	2007
1	2	238	0	2004
1	1	240	93	2009
1	1	289	0	2006
1	2	250	98	2009
1	2	259	0	0
1	1	241	92	2010
1	2	252	89	2008
1	2	271	0	2005
1	1	240	0	0
5	1	251	111	2005
1	2	299	0	0
1	2	235	0	2008
2	1	283	0	2004
1	1	0	87	0
2	0	240	0	0
1	1	246	0	0
1	2	276	0	0
1	1	240	132	2007
1	1	283	0	2006
1	0	259	142	0
3	0	268	140	2008
1	2	238	0	0
1	2	274	0	2007
1	1	288	137	0
1	2	253	0	2006
1	2	250	0	0
1	1	294	0	2006
1	2	279	98	2009
2	2	238	0	2005
2	1	246	134	2005
1	1	246	0	2007
1	2	274	0	0
1	2	246	98	2008
1	1	248	91	2006
1	1	283	94	2009
1	0	253	0	2006
1	2	252	146	0
1	2	244	0	0
2	2	246	0	2004
1	1	283	144	2007
1	2	278	140	2007
1	1	236	0	2007
1	2	244	0	2006
1	1	236	0	0
1	1	0	0	2008
1	1	267	0	2008
1	1	289	92	2009
1	2	246	102	2009
1	2	241	92	2009
1	1	291	92	2007
1	2	235	0	2007
1	1	278	98	2009
1	1	275	0	2007
1	2	286	0	2008
1	1	246	98	2009
1	1	268	0	2006
1	2	240	0	0
1	1	289	0	0
1	1	288	140	2008
1	1	289	142	2007
1	2	289	0	2007
1	1	273	134	2007
1	2	246	0	2005
1	2	246	0	2006
1	2	259	0	2004
1	2	252	120	0
1	2	253	0	2006
1	2	249	0	2005
1	2	246	0	0
1	1	260	138	2006
1	1	295	0	2007
1	1	289	0	0
1	1	239	91	2008
1	1	263	0	2006
1	1	239	87	0
2	1	271	0	2005
1	2	247	0	2008
1	1	274	0	2007
1	2	279	0	2006
1	2	244	0	0
1	2	292	117	2007
1	1	275	0	0
1	1	275	0	2008
1	2	267	91	2009
1	1	239	0	0
1	1	239	0	2009
1	2	258	142	2005
1	1	283	0	0
1	2	273	98	2008
1	2	241	0	0
1	0	0	0	0
1	2	252	102	2009
1	2	263	145	0
1	1	243	0	2006
1	1	270	0	2009
1	0	0	0	0
1	2	0	0	0
1	1	290	137	0
1	2	250	124	2006
1	1	271	95	2009
1	0	0	0	0
1	1	244	87	2009
1	1	241	0	0
